flightfare_key,arrivalAirportKey,available_seats
399,Malaga,-1
401,Malaga,-1
403,Malaga,-1
404,Malaga,-1
405,Malaga,-1
406,Malaga,-1
407,Malaga,-1
408,Malaga,-1
409,Alicante,-1
411,Alicante,-1
412,Alicante,-1
413,Alicante,-1
414,Alicante,-1
415,Alicante,-1
416,Alicante,-1
418,Alicante,-1
421,Malaga,-1
422,Malaga,-1
423,Malaga,-1
425,Malaga,-1
427,Malaga,-1
428,Malaga,-1
429,Malaga,-1
430,Malaga,-1
431,Malaga,-1
432,Malaga,-1
433,Alicante,-1
435,Alicante,-1
436,Alicante,-1
437,Alicante,-1
439,Alicante,-1
440,Alicante,-1
441,Alicante,-1
443,Alicante,-1
446,Malaga,-1
447,Malaga,-1
448,Malaga,-1
450,Malaga,-1
451,Malaga,-1
453,Malaga,-1
454,Malaga,-1
455,Malaga,-1
456,Malaga,-1
457,Malaga,-1
458,Alicante,-1
460,Alicante,-1
462,Alicante,-1
463,Alicante,-1
465,Alicante,-1
467,Alicante,-1
468,Alicante,-1
470,Alicante,-1
473,Malaga,-1
474,Malaga,-1
476,Malaga,-1
478,Malaga,-1
479,Malaga,-1
480,Malaga,-1
481,Malaga,-1
482,Malaga,-1
483,Malaga,-1
484,Alicante,-1
485,Alicante,-1
486,Alicante,-1
487,Alicante,-1
489,Alicante,-1
490,Alicante,-1
492,Alicante,-1
495,Malaga,-1
496,Malaga,-1
497,Malaga,-1
499,Malaga,-1
500,Malaga,-1
502,Malaga,-1
503,Malaga,-1
504,Malaga,-1
505,Malaga,-1
506,Malaga,-1
507,Malaga,-1
508,Ibiza,-1
509,Ibiza,-1
510,Alicante,-1
512,Alicante,-1
513,Alicante,-1
514,Alicante,-1
516,Alicante,-1
518,Alicante,-1
519,Alicante,-1
521,Alicante,-1
522,Malaga,-1
523,Malaga,-1
524,Malaga,-1
525,Malaga,-1
526,Malaga,-1
528,Malaga,-1
529,Malaga,-1
531,Alicante,-1
533,Alicante,-1
534,Alicante,-1
535,Alicante,-1
537,Alicante,-1
539,Alicante,-1
541,Malaga,-1
542,Ibiza,-1
543,Alicante,-1
546,Malaga,-1
547,Malaga,-1
548,Malaga,-1
549,Malaga,-1
552,Malaga,-1
553,Malaga,-1
554,Malaga,-1
555,Malaga,-1
556,Malaga,-1
584,Ibiza,88
588,Ibiza,88
629,Faro,344
630,Faro,344
631,Faro,-1
632,Faro,344
633,Faro,344
634,Faro,344
636,Faro,344
637,Faro,-1
638,Faro,344
639,Faro,344
640,Faro,344
641,Faro,344
642,Faro,344
643,Faro,344
644,Faro,344
645,Faro,344
646,Faro,344
647,Faro,344
648,Faro,344
649,Faro,344
650,Faro,344
651,Faro,344
652,Faro,344
653,Faro,344
654,Faro,344
655,Faro,344
656,Faro,344
657,Faro,344
658,Faro,344
659,Faro,344
660,Faro,344
661,Faro,344
662,Faro,344
663,Faro,344
664,Faro,344
665,Faro,344
666,Faro,344
667,Faro,344
668,Faro,344
669,Faro,344
670,Faro,344
671,Faro,344
672,Faro,344
673,Faro,344
674,Faro,344
675,Faro,344
676,Faro,344
677,Faro,344
740,Malaga,-1
742,Alicante,-1
743,Alicante,106
744,Palma,-1
745,Malaga,-1
746,Ibiza,80
747,Alicante,-1
748,Alicante,106
749,Faro,-1
750,Faro,90
751,Palermo,-1
752,Napels,148
753,Brindisi,102
755,Palma,-18
757,Palma,-1
758,Malaga,-1
759,Alicante,106
760,Faro,90
761,Palermo,-1
762,Napels,148
763,Napels,84
764,Brindisi,102
767,Palma,-1
768,Malaga,-1
769,Ibiza,80
770,Alicante,-1
771,Alicante,106
772,Faro,-1
773,Faro,90
774,Napels,148
775,Brindisi,102
777,Palma,-1
778,Malaga,-1
779,Alicante,106
780,Faro,90
781,Palermo,-1
782,Napels,148
784,Palma,-18
785,Palma,-1
786,Malaga,-1
787,Malaga,-10
788,Ibiza,80
789,Alicante,-1
790,Alicante,106
791,Faro,-1
792,Faro,90
793,Palermo,-1
794,Napels,84
795,Napels,148
796,Brindisi,102
797,Palma,-1
798,Malaga,-1
799,Ibiza,80
800,Alicante,106
801,Alicante,-1
802,Faro,90
803,Napels,148
805,Palma,-18
807,Palma,-1
808,Malaga,-1
810,Alicante,-1
811,Alicante,106
812,Faro,-1
813,Faro,90
814,Palermo,-1
815,Napels,148
816,Brindisi,102
818,Palma,-1
819,Malaga,-1
820,Ibiza,80
821,Alicante,-1
822,Alicante,106
823,Faro,-1
824,Faro,90
825,Palermo,-1
826,Napels,148
827,Brindisi,102
829,Palma,-18
831,Palma,-1
832,Malaga,-1
833,Alicante,106
834,Faro,90
835,Palermo,-1
836,Napels,148
837,Napels,84
838,Brindisi,102
841,Palma,-1
842,Malaga,-1
843,Ibiza,80
844,Alicante,-1
845,Alicante,106
846,Faro,-1
847,Faro,90
848,Napels,148
849,Brindisi,102
851,Palma,-1
852,Malaga,-1
853,Alicante,106
854,Faro,90
855,Palermo,-1
856,Napels,148
858,Palma,-18
859,Malaga,-1
860,Malaga,-10
861,Ibiza,80
862,Alicante,-1
863,Alicante,106
864,Faro,-1
865,Faro,90
866,Palermo,-1
867,Napels,84
868,Napels,148
869,Brindisi,102
870,Palma,-1
871,Malaga,-1
872,Ibiza,80
873,Alicante,106
874,Alicante,-1
875,Faro,90
876,Napels,148
878,Palma,-18
880,Palma,-1
881,Malaga,-1
883,Alicante,-1
884,Alicante,106
885,Faro,-1
886,Faro,90
887,Palermo,-1
888,Napels,148
889,Brindisi,102
891,Palma,-1
892,Malaga,-1
893,Ibiza,80
894,Alicante,-1
895,Alicante,106
896,Faro,-1
897,Faro,90
898,Palermo,-1
899,Napels,148
900,Brindisi,102
902,Palma,-18
904,Palma,-1
905,Malaga,-1
906,Alicante,106
907,Faro,90
908,Palermo,-1
909,Napels,148
910,Napels,84
911,Brindisi,102
914,Malaga,-1
915,Ibiza,80
916,Alicante,-1
917,Alicante,106
918,Faro,-1
919,Faro,90
920,Napels,148
921,Brindisi,102
923,Palma,-1
924,Malaga,-1
925,Alicante,-1
926,Alicante,106
927,Faro,90
928,Palermo,-1
929,Napels,148
931,Palma,-18
932,Malaga,-1
933,Malaga,-10
934,Ibiza,80
935,Alicante,-1
936,Alicante,106
937,Faro,-1
938,Faro,90
939,Palermo,-1
940,Napels,84
941,Napels,148
942,Brindisi,102
943,Palma,-1
944,Malaga,-1
945,Ibiza,80
946,Alicante,106
947,Alicante,-1
948,Faro,90
949,Napels,148
951,Palma,-18
953,Palma,-1
954,Malaga,-1
956,Alicante,-1
957,Alicante,106
958,Faro,-1
959,Faro,90
960,Palermo,-1
961,Napels,148
962,Brindisi,102
964,Palma,-1
965,Malaga,-1
966,Ibiza,80
967,Alicante,-1
968,Alicante,106
969,Faro,-1
970,Faro,90
971,Palermo,-1
972,Napels,148
973,Brindisi,102
975,Palma,-18
977,Palma,-1
978,Malaga,-1
979,Alicante,106
980,Faro,90
981,Palermo,-1
982,Napels,148
983,Napels,84
984,Brindisi,102
987,Malaga,-1
988,Ibiza,80
989,Alicante,-1
990,Alicante,106
991,Faro,-1
992,Faro,90
993,Napels,148
994,Brindisi,102
996,Palma,-1
997,Malaga,-1
998,Alicante,-1
999,Alicante,106
1000,Faro,90
1001,Palermo,-1
1002,Napels,148
1004,Palma,-18
1005,Malaga,-1
1006,Malaga,-10
1007,Ibiza,80
1008,Alicante,-1
1009,Alicante,106
1010,Faro,-1
1011,Faro,90
1012,Palermo,-1
1013,Napels,84
1014,Napels,148
1015,Brindisi,102
1016,Palma,-1
1017,Malaga,-1
1018,Ibiza,80
1019,Alicante,106
1020,Alicante,-1
1021,Faro,90
1022,Napels,148
1024,Palma,-18
1026,Palma,-1
1027,Malaga,-1
1029,Alicante,-1
1030,Alicante,106
1031,Faro,-1
1032,Faro,90
1033,Palermo,-1
1034,Napels,148
1035,Brindisi,102
1037,Palma,-1
1038,Malaga,-1
1039,Ibiza,80
1040,Alicante,-1
1041,Alicante,106
1042,Faro,-1
1043,Faro,90
1044,Palermo,-1
1045,Napels,148
1046,Brindisi,102
1048,Palma,-18
1050,Palma,-1
1051,Malaga,-1
1052,Alicante,106
1053,Faro,90
1054,Palermo,-1
1055,Napels,148
1056,Napels,84
1057,Brindisi,102
1060,Malaga,-1
1061,Ibiza,80
1062,Alicante,-1
1063,Alicante,106
1064,Faro,-1
1065,Faro,90
1066,Napels,148
1067,Brindisi,102
1069,Palma,-1
1070,Malaga,-1
1071,Alicante,-1
1072,Alicante,106
1073,Faro,90
1074,Palermo,-1
1075,Napels,148
1077,Palma,-18
1078,Malaga,-1
1079,Malaga,-10
1080,Ibiza,80
1081,Alicante,-1
1082,Alicante,106
1083,Faro,-1
1084,Faro,90
1085,Napels,84
1086,Napels,148
1087,Brindisi,102
1088,Palma,-1
1089,Malaga,-1
1090,Ibiza,80
1091,Alicante,106
1092,Alicante,-1
1093,Faro,90
1094,Napels,148
1096,Palma,-18
1098,Palma,-1
1099,Malaga,-1
1101,Alicante,-1
1102,Alicante,106
1103,Faro,-1
1104,Faro,90
1105,Napels,148
1106,Brindisi,102
1108,Palma,-1
1109,Malaga,-1
1110,Ibiza,80
1111,Alicante,-1
1112,Alicante,106
1113,Faro,-1
1114,Faro,90
1115,Napels,148
1116,Brindisi,102
1118,Palma,-18
1120,Palma,-1
1121,Malaga,-1
1122,Alicante,106
1123,Faro,90
1124,Napels,148
1125,Napels,84
1126,Brindisi,102
1129,Malaga,-1
1130,Ibiza,80
1131,Alicante,-1
1132,Alicante,106
1133,Faro,-1
1134,Faro,90
1135,Napels,148
1136,Brindisi,102
1138,Palma,-1
1139,Malaga,-1
1140,Alicante,-1
1141,Alicante,106
1142,Faro,90
1143,Napels,148
1145,Palma,-18
1146,Malaga,-1
1147,Malaga,-10
1148,Ibiza,80
1149,Alicante,-1
1150,Alicante,106
1151,Faro,-1
1152,Faro,90
1153,Napels,84
1154,Napels,148
1155,Brindisi,102
1156,Palma,-1
1157,Malaga,-1
1158,Ibiza,80
1159,Alicante,106
1160,Alicante,-1
1161,Faro,90
1162,Napels,148
1164,Palma,-18
1166,Palma,-1
1167,Malaga,-1
1169,Alicante,-1
1170,Alicante,106
1171,Faro,-1
1172,Faro,90
1173,Napels,148
1174,Palma,-1
1175,Malaga,-1
1176,Ibiza,80
1177,Alicante,-1
1178,Alicante,106
1179,Faro,-1
1180,Faro,90
1181,Napels,148
1182,Brindisi,102
1184,Palma,-18
1186,Palma,-1
1187,Malaga,-1
1188,Alicante,106
1189,Faro,90
1190,Napels,148
1191,Napels,84
1192,Brindisi,102
1194,Malaga,-1
1195,Ibiza,80
1196,Alicante,-1
1197,Alicante,106
1198,Faro,90
1199,Napels,148
1200,Brindisi,102
1202,Palma,-1
1203,Malaga,-1
1204,Alicante,-1
1205,Alicante,106
1206,Faro,90
1207,Napels,148
1209,Palma,-18
1210,Malaga,-1
1211,Malaga,-10
1212,Ibiza,80
1213,Alicante,-1
1214,Alicante,106
1215,Faro,-1
1216,Faro,90
1217,Napels,84
1218,Napels,148
1219,Brindisi,102
1220,Palma,-1
1221,Malaga,-1
1222,Ibiza,80
1223,Alicante,106
1224,Alicante,-1
1225,Faro,90
1226,Napels,148
1227,Palma,-18
1229,Palma,-1
1230,Malaga,-1
1232,Alicante,-1
1233,Alicante,106
1234,Faro,-1
1235,Faro,90
1236,Napels,148
1237,Palma,-1
1238,Malaga,-1
1239,Ibiza,80
1240,Alicante,-1
1241,Alicante,106
1242,Faro,-1
1243,Faro,90
1244,Napels,148
1245,Brindisi,102
1247,Palma,-18
1249,Palma,-1
1250,Malaga,-1
1251,Alicante,106
1252,Faro,90
1253,Napels,148
1254,Napels,84
1255,Brindisi,102
1257,Malaga,-1
1258,Ibiza,80
1259,Alicante,-1
1260,Alicante,106
1261,Faro,90
1262,Napels,148
1263,Brindisi,102
1265,Palma,-1
1266,Malaga,-1
1267,Alicante,-1
1268,Alicante,106
1269,Faro,90
1270,Napels,148
1272,Palma,-18
1273,Malaga,-1
1274,Malaga,-10
1275,Ibiza,80
1276,Alicante,-1
1277,Alicante,106
1278,Faro,-1
1279,Faro,90
1280,Napels,84
1281,Napels,148
1282,Brindisi,102
1283,Palma,-1
1284,Malaga,-1
1285,Ibiza,80
1286,Alicante,106
1287,Alicante,-1
1288,Faro,90
1289,Napels,148
1290,Palma,-18
1292,Palma,-1
1293,Malaga,-1
1295,Alicante,-1
1296,Alicante,106
1297,Faro,-1
1298,Faro,90
1299,Napels,148
1300,Palma,-1
1301,Malaga,-1
1302,Ibiza,80
1303,Alicante,-1
1304,Alicante,106
1305,Faro,-1
1306,Faro,90
1307,Napels,148
1308,Brindisi,102
1310,Palma,-18
1312,Palma,-1
1313,Malaga,-1
1314,Alicante,106
1315,Faro,90
1316,Napels,148
1317,Napels,84
1318,Brindisi,102
1320,Malaga,-1
1321,Ibiza,80
1322,Alicante,-1
1323,Alicante,106
1324,Faro,90
1325,Napels,148
1326,Brindisi,102
1328,Palma,-1
1329,Malaga,-1
1330,Alicante,-1
1331,Alicante,106
1332,Faro,90
1333,Napels,148
1335,Palma,-18
1336,Malaga,-1
1337,Malaga,-10
1338,Ibiza,80
1339,Alicante,-1
1340,Alicante,106
1341,Faro,-1
1342,Faro,90
1343,Napels,84
1344,Napels,148
1345,Brindisi,102
1346,Palma,-1
1347,Malaga,-1
1348,Ibiza,80
1349,Alicante,106
1350,Alicante,-1
1351,Faro,90
1352,Napels,148
1353,Palma,-18
1355,Palma,-1
1356,Malaga,-1
1358,Alicante,-1
1359,Alicante,106
1360,Faro,-1
1361,Faro,90
1362,Napels,148
1363,Palma,-1
1364,Malaga,-1
1365,Ibiza,80
1366,Alicante,-1
1367,Alicante,106
1368,Faro,-1
1369,Faro,90
1370,Napels,148
1371,Brindisi,102
1373,Palma,-18
1375,Palma,-1
1376,Malaga,-1
1377,Alicante,106
1378,Faro,90
1379,Napels,148
1380,Napels,84
1381,Brindisi,102
1383,Malaga,-1
1384,Ibiza,80
1385,Alicante,-1
1386,Alicante,106
1387,Faro,90
1388,Napels,148
1389,Brindisi,102
1391,Palma,-1
1392,Malaga,-1
1393,Alicante,106
1394,Faro,90
1395,Napels,148
1397,Palma,-18
1398,Malaga,-1
1399,Malaga,-10
1400,Ibiza,80
1401,Alicante,-1
1402,Alicante,106
1403,Faro,-1
1404,Faro,90
1405,Napels,84
1406,Napels,148
1407,Brindisi,102
1408,Palma,-1
1409,Malaga,-1
1410,Ibiza,80
1411,Alicante,106
1412,Alicante,-1
1413,Faro,90
1414,Napels,148
1415,Palma,-18
1417,Palma,-1
1418,Malaga,-1
1420,Alicante,-1
1421,Alicante,106
1422,Faro,-1
1423,Faro,90
1424,Napels,148
1425,Palma,-1
1426,Malaga,-1
1427,Ibiza,80
1428,Alicante,-1
1429,Alicante,106
1430,Faro,-1
1431,Faro,90
1432,Napels,148
1433,Brindisi,102
1435,Palma,-18
1437,Palma,-1
1438,Malaga,-1
1439,Alicante,106
1440,Faro,90
1441,Napels,148
1442,Napels,84
1443,Brindisi,102
1445,Malaga,-1
1446,Ibiza,80
1447,Alicante,106
1448,Faro,90
1449,Napels,148
1450,Brindisi,102
1452,Alicante,106
1453,Faro,90
1454,Napels,148
1456,Palma,-18
1457,Malaga,-10
1458,Alicante,-1
1459,Alicante,106
1460,Faro,-1
1461,Napels,84
1462,Napels,148
1463,Brindisi,102
1464,Alicante,-1
1465,Napels,148
1466,Palma,-18
1468,Palma,-1
1470,Malaga,-1
1471,Alicante,-1
1472,Faro,90
1473,Napels,148
1474,Brindisi,102
1476,Palma,-18
1478,Palma,-1
1479,Malaga,-1
1480,Alicante,106
1481,Faro,90
1482,Napels,84
1483,Napels,148
1484,Brindisi,102
1486,Malaga,-1
1487,Alicante,106
1488,Napels,148
1489,Brindisi,102
1491,Palma,-1
1492,Alicante,106
1493,Napels,148
1495,Palma,-18
1496,Malaga,-1
1497,Malaga,-10
1498,Ibiza,80
1499,Faro,-1
1500,Napels,148
1501,Corfu,-1
1507,Alicante,-1
1511,Tenerife,50
1512,Faro,90
1513,Malaga,-1
1514,Napels,148
1515,Faro,90
1516,Napels,148
1517,Faro,90
1518,Palermo,-1
1519,Alicante,106
1520,Napels,84
1521,Palma,-1
1522,Rhodos,-1
1523,Tenerife,50
1525,Kreta,-1
1526,Tenerife,-1
1527,Rhodos,-1
1528,Malaga,-1
1530,Corfu,-1
1536,Alicante,-1
1540,Tenerife,50
1541,Faro,90
1542,Malaga,-1
1543,Napels,148
1544,Faro,90
1545,Napels,148
1546,Faro,90
1547,Palermo,-1
1548,Alicante,106
1549,Napels,84
1550,Palma,-1
1551,Rhodos,-1
1552,Tenerife,50
1554,Malaga,-1
1555,Malaga,-1
1557,Alicante,-1
1558,Kreta,-1
1559,Ibiza,-1
1560,Rhodos,-1
1561,Palma,-1
1564,Malaga,-1
1565,Malaga,-1
1566,Alicante,-1
1567,Malaga,-1
1568,Rhodos,-1
1569,Malaga,-1
1571,Ibiza,88
1572,Faro,344
1573,Faro,344
1576,Malaga,-10
1577,Alicante,106
1578,Rhodos,-1
1579,Faro,90
1580,Faro,90
1581,Faro,-1
1582,Palermo,-1
1584,Malaga,-1
1585,Malaga,-1
1587,Alicante,-1
1588,Kreta,-1
1589,Ibiza,-1
1590,Rhodos,-1
1591,Palma,-1
1594,Malaga,-1
1595,Malaga,-1
1596,Alicante,-1
1597,Malaga,-1
1598,Rhodos,-1
1599,Malaga,-1
1601,Ibiza,88
1602,Faro,344
1603,Faro,344
1606,Malaga,-10
1607,Alicante,106
1608,Rhodos,-1
1609,Faro,90
1610,Faro,90
1611,Faro,-1
1612,Palermo,-1
1613,Alicante,-1
1614,Tenerife,-1
1616,Malaga,-1
1617,Ibiza,-1
1618,Ibiza,-1
1619,Kreta,-1
1620,Kreta,-1
1621,Tenerife,-1
1626,Rhodos,-1
1627,Kreta,-1
1629,Palma,-1
1630,Tenerife,-1
1632,Malaga,-1
1633,Tenerife,-1
1634,Alicante,-1
1637,Tenerife,-1
1638,Ibiza,-1
1639,Faro,344
1640,Ibiza,80
1641,Ibiza,80
1643,Alicante,-1
1644,Tenerife,-1
1646,Malaga,-1
1647,Ibiza,-1
1648,Ibiza,-1
1649,Kreta,-1
1650,Kreta,-1
1651,Tenerife,-1
1656,Rhodos,-1
1657,Kreta,-1
1659,Palma,-1
1660,Tenerife,-1
1662,Malaga,-1
1663,Tenerife,-1
1664,Alicante,-1
1667,Tenerife,-1
1668,Ibiza,-1
1669,Faro,344
1670,Ibiza,80
1671,Ibiza,80
1673,Tenerife,-1
1677,Kreta,-1
1678,Tenerife,-1
1679,Kreta,-1
1680,Malaga,-1
1682,Tenerife,-1
1683,Alicante,-1
1684,Kreta,-1
1686,Rhodos,-1
1687,Tenerife,-1
1688,Kreta,-1
1689,Malaga,-1
1691,Ibiza,80
1694,Palermo,-1
1695,Tenerife,50
1696,Palermo,-1
1697,Tenerife,-1
1701,Kreta,-1
1702,Tenerife,-1
1703,Kreta,-1
1704,Malaga,-1
1706,Tenerife,-1
1707,Alicante,-1
1708,Kreta,-1
1710,Rhodos,-1
1711,Tenerife,-1
1712,Kreta,-1
1713,Malaga,-1
1715,Ibiza,80
1718,Palermo,-1
1719,Tenerife,50
1720,Palermo,-1
1721,Rhodos,-1
1723,Alicante,-1
1724,Rhodos,-1
1725,Alicante,-1
1726,Ibiza,-1
1727,Alicante,-1
1728,Malaga,-1
1729,Rhodos,-1
1730,Tenerife,-1
1733,Kreta,-1
1734,Malaga,-1
1735,Palma,-18
1736,Ibiza,80
1737,Napels,84
1738,Faro,-1
1739,Palma,-1
1740,Napels,148
1741,Napels,148
1743,Palma,-1
1744,Napels,148
1745,Tenerife,50
1746,Rhodos,-1
1747,Tenerife,50
1748,Rhodos,-1
1750,Alicante,-1
1751,Rhodos,-1
1752,Alicante,-1
1753,Ibiza,-1
1754,Alicante,-1
1755,Malaga,-1
1756,Rhodos,-1
1757,Tenerife,-1
1760,Kreta,-1
1761,Malaga,-1
1762,Palma,-18
1763,Ibiza,80
1764,Napels,84
1765,Faro,-1
1766,Palma,-1
1767,Napels,148
1768,Napels,148
1770,Palma,-1
1771,Napels,148
1772,Tenerife,50
1773,Rhodos,-1
1774,Tenerife,50
1775,Tenerife,-1
1776,Malaga,-1
1778,Palma,-1
1779,Ibiza,-1
1781,Tenerife,-1
1782,Malaga,-1
1784,Ibiza,-1
1787,Malaga,-1
1790,Malaga,-1
1791,Malaga,-1
1792,Napels,-1
1793,Rhodos,-1
1794,Alicante,-1
1795,Palma,-1
1796,Malaga,-1
1798,Palma,-1
1799,Rhodos,-1
1800,Napels,84
1801,Brindisi,102
1802,Alicante,-1
1803,Rhodos,-1
1804,Alicante,106
1805,Tenerife,-1
1806,Malaga,-1
1808,Palma,-1
1809,Ibiza,-1
1811,Tenerife,-1
1812,Malaga,-1
1814,Ibiza,-1
1817,Malaga,-1
1820,Malaga,-1
1821,Malaga,-1
1822,Napels,-1
1823,Rhodos,-1
1824,Alicante,-1
1825,Palma,-1
1826,Malaga,-1
1828,Palma,-1
1829,Rhodos,-1
1830,Napels,84
1831,Brindisi,102
1832,Alicante,-1
1833,Rhodos,-1
1834,Alicante,106
1835,Ibiza,-1
1837,Tenerife,-1
1839,Alicante,-1
1841,Corfu,-1
1842,Napels,-1
1844,Malaga,-1
1845,Palermo,-1
1846,Malaga,-1
1848,Palma,-1
1849,Tenerife,50
1850,Alicante,-1
1851,Tenerife,50
1853,Tenerife,50
1854,Alicante,-1
1855,Rhodos,-1
1856,Ibiza,-1
1858,Tenerife,-1
1860,Alicante,-1
1862,Corfu,-1
1863,Napels,-1
1865,Malaga,-1
1866,Palermo,-1
1867,Malaga,-1
1869,Palma,-1
1870,Tenerife,50
1871,Alicante,-1
1872,Tenerife,50
